node_id,timestamp,packet_count,battery_level,error_rate,signal_strength,transmission_delay,status,anomaly_score,is_anomaly,explanation
Node_4,2026-05-21 08:33:53,19,80.92,0.078,-61.5,21.3,normal,-0.1686,False,
Node_3,2026-05-21 08:33:53,295,78.87,0.118,-75.4,20.0,suspicious_activity,0.0565,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_2,2026-05-21 08:33:53,18,72.9,0.037,-56.0,22.9,normal,-0.1828,False,
Node_1,2026-05-21 08:33:53,15,67.35,0.074,-59.5,14.8,normal,-0.1754,False,
Node_5,2026-05-21 08:33:53,20,11.02,0.035,-57.8,21.3,energy_drop,-0.1086,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_5,2026-05-21 08:34:13,19,6.17,0.056,-62.1,32.9,energy_drop,-0.0947,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_1,2026-05-21 08:34:13,27,67.27,0.069,-50.0,13.7,normal,-0.2033,False,
Node_2,2026-05-21 08:34:13,27,72.78,0.014,-56.4,14.4,normal,-0.1746,False,
Node_3,2026-05-21 08:34:13,247,78.77,0.146,-76.1,38.4,suspicious_activity,0.0543,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_4,2026-05-21 08:34:13,44,80.69,0.047,-63.4,20.7,normal,-0.1584,False,
Node_6,2026-05-21 08:34:13,32,59.46,0.08,-60.5,15.3,normal,-0.1938,False,
Node_7,2026-05-21 08:34:13,32,59.92,0.03,-62.5,25.3,node_silence,-0.1912,True,Node_7 uzun süre veri göndermediği için sessizlik anomalisi oluştu.
Node_8,2026-05-21 08:34:13,43,70.91,0.038,-55.0,7.6,normal,-0.1769,False,
Node_9,2026-05-21 08:34:13,39,60.3,0.027,-47.8,14.5,normal,-0.1774,False,
Node_10,2026-05-21 08:34:13,19,84.94,0.016,-62.8,23.7,normal,-0.1405,False,
Node_8,2026-05-21 08:34:33,41,70.8,0.061,-46.8,13.7,normal,-0.1692,False,
Node_7,2026-05-21 08:34:33,23,59.76,0.025,-47.0,20.0,normal,-0.1826,False,
Node_10,2026-05-21 08:34:33,25,84.81,0.057,-58.1,21.1,normal,-0.185,False,
Node_9,2026-05-21 08:34:33,22,60.13,0.024,-59.6,20.7,normal,-0.1921,False,
Node_6,2026-05-21 08:34:33,26,59.23,0.029,-59.6,10.2,normal,-0.1975,False,
Node_5,2026-05-21 08:34:33,27,12.13,0.094,-63.6,31.3,energy_drop,-0.0883,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_4,2026-05-21 08:34:33,22,80.46,0.055,-61.1,14.4,normal,-0.1816,False,
Node_3,2026-05-21 08:34:33,218,78.53,0.095,-66.7,15.5,suspicious_activity,-0.0008,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_2,2026-05-21 08:34:33,30,72.54,0.067,-47.0,22.8,normal,-0.1716,False,
Node_1,2026-05-21 08:34:33,44,67.07,0.012,-48.0,16.8,normal,-0.1524,False,
Node_10,2026-05-21 08:34:53,42,84.7,0.076,-60.1,21.1,normal,-0.1578,False,
Node_9,2026-05-21 08:34:53,17,59.95,0.235,-66.9,126.6,packet_loss,-0.0684,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:34:53,35,70.63,0.027,-53.3,21.8,normal,-0.1925,False,
Node_7,2026-05-21 08:34:53,39,59.63,0.075,-62.2,16.6,normal,-0.1879,False,
Node_6,2026-05-21 08:34:53,1,24.9,0.846,-53.2,452.8,node_failure,0.0994,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_5,2026-05-21 08:34:53,14,8.62,0.047,-70.4,31.5,energy_drop,-0.0543,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_4,2026-05-21 08:34:53,32,80.28,0.08,-49.4,15.0,normal,-0.1728,False,
Node_3,2026-05-21 08:34:53,22,78.35,0.034,-62.1,21.6,normal,-0.1796,False,
Node_2,2026-05-21 08:34:53,42,72.49,0.061,-51.8,7.0,normal,-0.1723,False,
Node_1,2026-05-21 08:34:53,43,66.97,0.021,-56.8,8.4,normal,-0.1645,False,
Node_10,2026-05-21 08:35:13,43,84.64,0.073,-52.4,23.7,normal,-0.1551,False,
Node_9,2026-05-21 08:35:13,27,59.72,0.027,-62.2,12.0,normal,-0.199,False,
Node_8,2026-05-21 08:35:13,31,70.48,0.074,-46.6,16.3,normal,-0.169,False,
Node_7,2026-05-21 08:35:13,30,59.46,0.043,-62.5,11.8,normal,-0.2001,False,
Node_6,2026-05-21 08:35:13,5,31.5,0.901,-65.9,406.1,node_failure,0.0628,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_4,2026-05-21 08:35:13,39,80.05,0.053,-52.6,10.3,normal,-0.1806,False,
Node_3,2026-05-21 08:35:13,222,78.22,0.088,-74.7,33.8,suspicious_activity,0.0334,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_2,2026-05-21 08:35:13,15,72.24,0.473,-54.2,39.8,communication_error,-0.0561,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:35:13,29,66.75,0.051,-57.8,13.7,normal,-0.206,False,
Node_5,2026-05-21 08:35:13,27,81.41,0.068,-63.9,18.4,normal,-0.179,False,
Node_5,2026-05-21 08:35:33,26,81.35,0.052,-64.8,23.2,normal,-0.166,False,
Node_1,2026-05-21 08:35:33,34,66.51,0.042,-62.7,16.0,normal,-0.1974,False,
Node_2,2026-05-21 08:35:33,17,72.06,0.026,-52.9,6.5,normal,-0.1624,False,
Node_3,2026-05-21 08:35:33,225,78.15,0.099,-51.9,39.5,suspicious_activity,0.0217,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_4,2026-05-21 08:35:33,43,79.96,0.031,-48.1,23.1,normal,-0.1567,False,
Node_6,2026-05-21 08:35:33,24,58.8,0.029,-46.7,9.0,normal,-0.1762,False,
Node_7,2026-05-21 08:35:33,31,59.22,0.057,-76.0,26.1,node_silence,-0.109,True,Node_7 uzun süre veri göndermediği için sessizlik anomalisi oluştu.
Node_8,2026-05-21 08:35:33,28,70.28,0.038,-64.7,24.1,normal,-0.1809,False,
Node_9,2026-05-21 08:35:33,17,59.58,0.242,-67.9,269.3,packet_loss,-0.0071,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_10,2026-05-21 08:35:33,42,84.53,0.01,-56.7,12.2,normal,-0.1431,False,
Node_8,2026-05-21 08:35:53,27,70.16,0.047,-47.1,10.1,normal,-0.1864,False,
Node_7,2026-05-21 08:35:53,34,58.98,0.081,-52.2,29.5,node_silence,-0.1696,True,Node_7 uzun süre veri göndermediği için sessizlik anomalisi oluştu.
Node_10,2026-05-21 08:35:53,27,84.3,0.034,-58.2,11.6,normal,-0.184,False,
Node_9,2026-05-21 08:35:53,20,59.53,0.281,-67.6,148.9,packet_loss,-0.0613,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_6,2026-05-21 08:35:53,24,58.65,0.069,-59.8,21.5,normal,-0.2033,False,
Node_5,2026-05-21 08:35:53,29,81.15,0.06,-62.4,11.1,normal,-0.1855,False,
Node_4,2026-05-21 08:35:53,16,79.78,0.054,-51.8,14.6,normal,-0.1645,False,
Node_3,2026-05-21 08:35:53,203,77.98,0.081,-77.4,37.6,suspicious_activity,0.0463,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_2,2026-05-21 08:35:53,17,71.89,0.557,-68.9,62.3,communication_error,-0.0435,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:35:53,31,66.35,0.028,-46.2,24.4,normal,-0.1608,False,
Node_10,2026-05-21 08:36:13,32,84.14,0.026,-50.8,5.9,normal,-0.1625,False,
Node_9,2026-05-21 08:36:13,18,59.32,0.046,-60.6,17.5,normal,-0.1943,False,
Node_8,2026-05-21 08:36:13,16,70.04,0.069,-51.2,5.9,normal,-0.166,False,
Node_7,2026-05-21 08:36:13,29,58.73,0.054,-46.3,19.2,normal,-0.1774,False,
Node_6,2026-05-21 08:36:13,1,13.45,0.85,-53.0,363.7,node_failure,0.0863,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_4,2026-05-21 08:36:13,19,79.67,0.021,-59.0,11.8,normal,-0.1676,False,
Node_3,2026-05-21 08:36:13,183,77.73,0.122,-60.6,15.5,suspicious_activity,-0.0223,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_2,2026-05-21 08:36:13,17,71.7,0.413,-55.7,55.9,communication_error,-0.0659,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:36:13,16,66.24,0.062,-59.2,14.1,normal,-0.1843,False,
Node_5,2026-05-21 08:36:13,32,80.95,0.029,-55.8,20.6,normal,-0.1839,False,
Node_7,2026-05-21 08:36:33,36,58.57,0.043,-58.0,21.6,normal,-0.2024,False,
Node_10,2026-05-21 08:36:33,16,83.96,0.042,-62.9,16.8,normal,-0.1519,False,
Node_9,2026-05-21 08:36:33,13,59.22,0.307,-55.3,250.4,packet_loss,0.0081,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:36:33,22,69.99,0.048,-60.8,6.6,normal,-0.1865,False,
Node_6,2026-05-21 08:36:33,4,29.12,0.763,-52.1,452.5,node_failure,0.0797,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_5,2026-05-21 08:36:33,10,7.95,0.085,-68.0,27.5,energy_drop,-0.0421,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_4,2026-05-21 08:36:33,44,79.53,0.028,-55.0,6.5,normal,-0.1509,False,
Node_3,2026-05-21 08:36:33,38,77.66,0.074,-60.5,8.5,normal,-0.1646,False,
Node_2,2026-05-21 08:36:33,37,71.61,0.071,-61.0,6.5,normal,-0.1732,False,
Node_1,2026-05-21 08:36:33,32,66.08,0.015,-59.0,13.6,normal,-0.1827,False,
Node_10,2026-05-21 08:36:53,26,83.77,0.048,-59.5,22.4,normal,-0.185,False,
Node_9,2026-05-21 08:36:53,22,59.05,0.273,-76.7,259.9,packet_loss,0.024,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:36:53,16,69.91,0.077,-50.0,17.3,normal,-0.1746,False,
Node_7,2026-05-21 08:36:53,33,58.45,0.042,-60.3,5.1,normal,-0.1769,False,
Node_6,2026-05-21 08:36:53,1,18.02,0.634,-50.6,224.7,node_failure,0.0643,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_5,2026-05-21 08:36:53,17,80.75,0.07,-45.9,23.4,normal,-0.1345,False,
Node_4,2026-05-21 08:36:53,29,79.35,0.023,-56.2,12.0,normal,-0.1813,False,
Node_3,2026-05-21 08:36:53,17,77.46,0.062,-56.7,22.2,normal,-0.1733,False,
Node_2,2026-05-21 08:36:53,10,71.41,0.559,-73.0,66.8,communication_error,-0.0138,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:36:53,20,65.99,0.035,-62.2,18.1,normal,-0.1995,False,
Node_9,2026-05-21 08:37:13,10,58.96,0.327,-52.0,211.9,packet_loss,0.0046,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:37:13,41,69.7,0.023,-45.4,10.3,normal,-0.1254,False,
Node_7,2026-05-21 08:37:13,31,58.29,0.06,-55.9,24.4,normal,-0.1978,False,
Node_6,2026-05-21 08:37:13,4,25.89,0.652,-50.2,321.9,node_failure,0.0523,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_10,2026-05-21 08:37:13,21,83.63,0.018,-51.2,20.9,normal,-0.1679,False,
Node_4,2026-05-21 08:37:13,26,79.22,0.046,-47.7,7.2,normal,-0.1623,False,
Node_3,2026-05-21 08:37:13,22,77.25,0.04,-62.8,22.8,normal,-0.1739,False,
Node_2,2026-05-21 08:37:13,13,71.27,0.631,-72.2,61.2,communication_error,-0.0166,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:37:13,19,65.9,0.065,-48.1,8.2,normal,-0.1765,False,
Node_5,2026-05-21 08:37:13,24,80.63,0.064,-47.9,23.1,normal,-0.171,False,
Node_10,2026-05-21 08:37:33,28,83.45,0.044,-64.6,20.9,normal,-0.166,False,
Node_9,2026-05-21 08:37:33,44,58.9,0.027,-59.8,11.8,normal,-0.1813,False,
Node_8,2026-05-21 08:37:33,29,69.5,0.079,-46.1,23.6,normal,-0.157,False,
Node_7,2026-05-21 08:37:33,43,58.05,0.051,-45.1,8.1,normal,-0.1267,False,
Node_6,2026-05-21 08:37:33,4,14.31,0.779,-79.3,204.9,node_failure,0.0612,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_5,2026-05-21 08:37:33,43,80.54,0.08,-55.1,9.0,normal,-0.1524,False,
Node_4,2026-05-21 08:37:33,36,78.98,0.057,-51.2,12.1,normal,-0.1882,False,
Node_3,2026-05-21 08:37:33,28,77.11,0.013,-49.2,16.1,normal,-0.1693,False,
Node_2,2026-05-21 08:37:33,31,71.2,0.571,-68.7,46.6,communication_error,-0.0273,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:37:33,36,65.77,0.033,-57.6,18.2,normal,-0.1995,False,
Node_10,2026-05-21 08:37:53,36,83.39,0.028,-60.4,15.6,normal,-0.178,False,
Node_9,2026-05-21 08:37:53,9,58.83,0.193,-78.3,123.2,packet_loss,0.0098,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:37:53,28,69.37,0.06,-51.8,10.7,normal,-0.2042,False,
Node_7,2026-05-21 08:37:53,35,57.82,0.018,-48.3,7.3,normal,-0.1676,False,
Node_6,2026-05-21 08:37:53,21,57.92,0.071,-57.6,15.9,normal,-0.2012,False,
Node_5,2026-05-21 08:37:53,34,80.45,0.036,-54.9,18.9,normal,-0.1905,False,
Node_4,2026-05-21 08:37:53,45,78.85,0.04,-64.8,13.2,normal,-0.1549,False,
Node_3,2026-05-21 08:37:53,217,76.93,0.14,-57.2,17.9,suspicious_activity,-0.0124,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_2,2026-05-21 08:37:53,16,71.03,0.035,-51.0,11.5,normal,-0.1766,False,
Node_1,2026-05-21 08:37:53,15,65.66,0.046,-49.8,9.6,normal,-0.1759,False,
Node_10,2026-05-21 08:38:13,26,83.19,0.042,-64.2,19.3,normal,-0.1753,False,
Node_9,2026-05-21 08:38:13,10,58.65,0.158,-59.5,135.0,packet_loss,-0.0494,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:38:13,40,69.2,0.027,-45.1,10.5,normal,-0.1313,False,
Node_7,2026-05-21 08:38:13,27,57.61,0.058,-51.4,16.7,node_silence,-0.209,True,Node_7 uzun süre veri göndermediği için sessizlik anomalisi oluştu.
Node_6,2026-05-21 08:38:13,0,14.05,0.882,-59.0,254.9,node_failure,0.0644,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_4,2026-05-21 08:38:13,41,78.7,0.058,-47.7,14.5,normal,-0.1645,False,
Node_3,2026-05-21 08:38:13,37,76.86,0.022,-49.7,18.9,normal,-0.179,False,
Node_2,2026-05-21 08:38:13,34,70.8,0.613,-70.2,72.8,communication_error,-0.0115,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:38:13,26,65.43,0.018,-48.7,15.4,normal,-0.1869,False,
Node_5,2026-05-21 08:38:13,37,80.28,0.043,-62.0,8.0,normal,-0.167,False,
Node_7,2026-05-21 08:38:33,16,57.51,0.028,-49.5,24.6,normal,-0.1709,False,
Node_10,2026-05-21 08:38:33,15,83.04,0.029,-61.0,15.3,normal,-0.1533,False,
Node_9,2026-05-21 08:38:33,26,58.58,0.034,-50.5,9.4,normal,-0.1981,False,
Node_8,2026-05-21 08:38:33,21,69.08,0.017,-64.1,24.4,normal,-0.164,False,
Node_6,2026-05-21 08:38:33,1,18.42,0.692,-78.7,278.3,node_failure,0.0542,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_5,2026-05-21 08:38:33,23,11.75,0.065,-55.8,19.4,energy_drop,-0.1118,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_4,2026-05-21 08:38:33,29,78.61,0.078,-56.8,11.8,normal,-0.172,False,
Node_3,2026-05-21 08:38:33,201,76.77,0.133,-66.2,25.5,suspicious_activity,0.0012,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_2,2026-05-21 08:38:33,19,70.73,0.644,-55.1,62.7,communication_error,-0.0109,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:38:33,40,65.23,0.036,-47.3,12.1,normal,-0.1709,False,
Node_10,2026-05-21 08:38:53,45,82.98,0.055,-60.0,24.7,normal,-0.1534,False,
Node_9,2026-05-21 08:38:53,13,58.53,0.341,-58.1,228.6,packet_loss,-0.0181,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:38:53,16,69.0,0.056,-58.5,24.3,normal,-0.1757,False,
Node_7,2026-05-21 08:38:53,40,57.42,0.066,-56.5,22.1,normal,-0.1918,False,
Node_6,2026-05-21 08:38:53,25,57.64,0.047,-55.5,10.7,normal,-0.205,False,
Node_4,2026-05-21 08:38:53,41,78.44,0.029,-58.9,12.0,normal,-0.1715,False,
Node_3,2026-05-21 08:38:53,221,76.55,0.115,-75.5,12.1,suspicious_activity,0.0313,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_2,2026-05-21 08:38:53,16,70.56,0.064,-53.1,11.5,normal,-0.1785,False,
Node_1,2026-05-21 08:38:53,29,65.08,0.036,-63.1,16.9,normal,-0.1969,False,
Node_5,2026-05-21 08:38:53,20,79.98,0.036,-57.1,9.0,normal,-0.1716,False,
Node_7,2026-05-21 08:39:13,23,57.36,0.052,-45.3,12.0,normal,-0.1625,False,
Node_10,2026-05-21 08:39:13,33,82.78,0.024,-58.9,15.9,normal,-0.1767,False,
Node_9,2026-05-21 08:39:13,18,58.37,0.322,-70.5,136.8,packet_loss,-0.0435,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:39:13,21,68.79,0.065,-57.9,24.4,normal,-0.1962,False,
Node_6,2026-05-21 08:39:13,28,57.46,0.046,-52.8,20.4,normal,-0.2064,False,
Node_5,2026-05-21 08:39:13,45,79.82,0.066,-46.7,7.4,normal,-0.1298,False,
Node_4,2026-05-21 08:39:13,37,78.28,0.031,-62.5,21.0,normal,-0.1762,False,
Node_3,2026-05-21 08:39:13,247,76.46,0.124,-63.1,17.0,suspicious_activity,-0.0019,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_2,2026-05-21 08:39:13,35,70.32,0.017,-64.0,22.2,normal,-0.1721,False,
Node_1,2026-05-21 08:39:13,38,64.84,0.015,-59.4,19.7,normal,-0.1764,False,
Node_10,2026-05-21 08:39:33,40,82.57,0.043,-52.8,19.4,normal,-0.1777,False,
Node_9,2026-05-21 08:39:33,17,58.2,0.341,-50.6,145.2,packet_loss,-0.0278,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:39:33,43,68.69,0.064,-52.1,6.6,normal,-0.1705,False,
Node_7,2026-05-21 08:39:33,25,57.31,0.077,-45.1,12.7,normal,-0.1467,False,
Node_6,2026-05-21 08:39:33,5,10.52,0.791,-79.0,238.7,node_failure,0.0662,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_5,2026-05-21 08:39:33,19,13.89,0.022,-57.1,47.2,energy_drop,-0.0799,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_4,2026-05-21 08:39:33,38,78.16,0.058,-51.7,11.6,normal,-0.1861,False,
Node_3,2026-05-21 08:39:33,45,76.39,0.029,-49.0,6.2,normal,-0.1402,False,
Node_2,2026-05-21 08:39:33,29,70.11,0.025,-62.9,7.6,normal,-0.1784,False,
Node_1,2026-05-21 08:39:33,21,64.62,0.078,-56.4,13.4,normal,-0.1977,False,
Node_9,2026-05-21 08:39:53,25,58.05,0.324,-71.6,191.4,packet_loss,-0.0083,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:39:53,27,68.61,0.058,-50.9,8.7,normal,-0.1996,False,
Node_7,2026-05-21 08:39:53,42,57.21,0.045,-57.7,20.8,normal,-0.1948,False,
Node_6,2026-05-21 08:39:53,44,57.19,0.032,-59.1,8.6,normal,-0.1784,False,
Node_10,2026-05-21 08:39:53,45,82.38,0.07,-50.7,15.5,normal,-0.1703,False,
Node_4,2026-05-21 08:39:53,33,77.99,0.07,-52.7,23.3,normal,-0.1844,False,
Node_1,2026-05-21 08:39:53,29,64.39,0.026,-56.4,9.3,normal,-0.1945,False,
Node_5,2026-05-21 08:39:53,16,7.6,0.04,-77.6,20.9,energy_drop,-0.0364,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_3,2026-05-21 08:39:53,31,76.2,0.017,-54.9,17.3,normal,-0.1823,False,
Node_2,2026-05-21 08:39:53,32,69.9,0.525,-73.0,58.0,communication_error,-0.0221,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:40:13,33,64.27,0.046,-53.5,11.3,normal,-0.2041,False,
Node_2,2026-05-21 08:40:13,18,69.68,0.44,-52.8,51.7,communication_error,-0.0528,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_3,2026-05-21 08:40:13,244,76.09,0.069,-74.3,38.0,suspicious_activity,0.0361,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_4,2026-05-21 08:40:13,21,77.82,0.021,-52.3,7.0,normal,-0.161,False,
Node_5,2026-05-21 08:40:13,26,9.31,0.092,-51.0,20.4,energy_drop,-0.0923,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_6,2026-05-21 08:40:13,4,22.57,0.659,-77.5,309.2,node_failure,0.0325,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_8,2026-05-21 08:40:13,40,68.55,0.049,-62.4,17.9,normal,-0.1914,False,
Node_9,2026-05-21 08:40:13,38,57.97,0.047,-57.0,8.7,normal,-0.1867,False,
Node_10,2026-05-21 08:40:13,30,82.17,0.028,-56.1,18.2,normal,-0.1842,False,
Node_9,2026-05-21 08:40:33,13,57.84,0.285,-68.0,133.8,packet_loss,-0.0504,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:40:33,23,68.5,0.055,-45.7,24.4,normal,-0.1666,False,
Node_6,2026-05-21 08:40:33,39,57.01,0.071,-49.6,13.1,normal,-0.1918,False,
Node_5,2026-05-21 08:40:33,42,79.05,0.017,-49.8,20.2,normal,-0.163,False,
Node_10,2026-05-21 08:40:33,16,82.0,0.052,-64.4,22.5,normal,-0.1478,False,
Node_3,2026-05-21 08:40:33,237,75.86,0.093,-57.4,23.1,suspicious_activity,-0.0358,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_2,2026-05-21 08:40:33,20,69.45,0.727,-53.2,44.3,communication_error,0.0106,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_1,2026-05-21 08:40:33,19,64.18,0.062,-64.7,21.2,normal,-0.1867,False,
Node_4,2026-05-21 08:40:33,23,77.63,0.032,-62.4,7.9,normal,-0.1733,False,
Node_9,2026-05-21 08:40:53,10,57.75,0.151,-56.5,161.4,packet_loss,-0.0461,True,Node_9 yüksek iletim gecikmesi nedeniyle paket kaybı riski taşıyor.
Node_8,2026-05-21 08:40:53,20,68.33,0.014,-64.4,22.7,normal,-0.1693,False,
Node_6,2026-05-21 08:40:53,5,17.06,0.744,-58.6,283.1,node_failure,0.0289,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_5,2026-05-21 08:40:53,15,5.62,0.069,-66.9,48.1,energy_drop,-0.0524,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_10,2026-05-21 08:40:53,34,81.88,0.053,-64.1,5.4,normal,-0.1475,False,
Node_3,2026-05-21 08:40:53,42,75.71,0.045,-54.2,14.9,normal,-0.1886,False,
Node_4,2026-05-21 08:40:53,31,77.54,0.076,-45.9,17.0,normal,-0.1411,False,
Node_1,2026-05-21 08:40:53,21,64.06,0.065,-57.0,6.5,normal,-0.1868,False,
Node_2,2026-05-21 08:40:53,24,69.3,0.062,-63.2,20.3,normal,-0.1961,False,
Node_1,2026-05-21 08:41:13,30,63.84,0.037,-56.9,12.6,normal,-0.2037,False,
Node_2,2026-05-21 08:41:13,10,69.12,0.613,-66.3,74.7,communication_error,-0.0144,True,Node_2 yüksek hata oranı nedeniyle iletişim problemi olarak işaretlendi.
Node_3,2026-05-21 08:41:13,229,75.57,0.088,-73.1,11.1,suspicious_activity,0.0161,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_4,2026-05-21 08:41:13,44,77.37,0.04,-46.1,19.4,normal,-0.1445,False,
Node_6,2026-05-21 08:41:13,29,56.65,0.047,-51.7,6.3,normal,-0.1905,False,
Node_8,2026-05-21 08:41:13,21,68.2,0.061,-49.0,8.1,normal,-0.1832,False,
Node_9,2026-05-21 08:41:13,24,57.57,0.016,-59.6,21.2,normal,-0.185,False,
Node_10,2026-05-21 08:41:13,15,81.8,0.017,-59.0,7.2,normal,-0.1267,False,
Node_5,2026-05-21 08:41:13,16,12.71,0.026,-69.3,44.4,energy_drop,-0.0561,True,Node_5 pil seviyesinde ani düşüş olduğu için enerji anomalisi tespit edildi.
Node_6,2026-05-21 08:41:33,3,39.36,0.693,-66.4,213.1,node_failure,-0.0056,True,Node_6 düğüm arızası olasılığı nedeniyle riskli olarak işaretlendi.
Node_9,2026-05-21 08:41:33,19,57.38,0.074,-45.2,8.5,normal,-0.1466,False,
Node_8,2026-05-21 08:41:33,18,68.14,0.032,-53.0,15.9,normal,-0.1918,False,
Node_10,2026-05-21 08:41:33,36,81.56,0.023,-56.8,8.6,normal,-0.1661,False,
Node_4,2026-05-21 08:41:33,30,77.28,0.068,-51.7,10.1,normal,-0.1872,False,
Node_3,2026-05-21 08:41:33,343,75.45,0.076,-74.1,32.6,suspicious_activity,0.0612,True,Node_3 normalden fazla veri gönderdiği için şüpheli aktivite olarak işaretlendi.
Node_2,2026-05-21 08:41:33,39,68.94,0.072,-52.2,9.4,normal,-0.1803,False,
